% 2013-11-12 21:26:09.004000
% {
%   "maps": [
%     "normalize_date",
%     "day_and_time",
%     "calculate_traffic"
%   ],
%   "filters": [
%     "has_weather"
%   ],
%   "attributes": [
%     [
%       "hour",
%       "hour",
%       "NOMINAL"
%     ],
%     [
%       "day",
%       "day",
%       "NOMINAL"
%     ],
%     [
%       "weather",
%       "weather.current_observation.weather",
%       "NOMINAL"
%     ],
%     [
%       "weekend",
%       "weekend",
%       "NOMINAL"
%     ],
%     [
%       "traffic_level",
%       "traffic_level",
%       "NUMERIC"
%     ]
%   ]
% }

@RELATION 'TrafficData'

@ATTRIBUTE 'hour' {'0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@ATTRIBUTE 'day' {'0', '1', '2', '3', '4', '5', '6'}
@ATTRIBUTE 'weather' {'Mostly-Cloudy', 'Shallow-Fog', 'Clear', 'Overcast', 'Rain', 'Scattered-Clouds', 'Haze', 'Fog', 'Partly-Cloudy'}
@ATTRIBUTE 'weekend' {'False', 'True'}
@ATTRIBUTE 'traffic_level' 'NUMERIC'

@DATA
8,2,Clear,False,0.395967741935
9,2,Scattered-Clouds,False,0.638905066977
9,2,Scattered-Clouds,False,0.459854014599
11,2,Clear,False,0.188715953307
11,2,Partly-Cloudy,False,0.142525687769
11,2,Clear,False,0.319218241042
11,2,Partly-Cloudy,False,0.336879432624
12,2,Scattered-Clouds,False,0.418439716312
12,2,Scattered-Clouds,False,0.092803030303
14,2,Scattered-Clouds,False,0.276396396396
15,2,Clear,False,0.237823834197
16,2,Clear,False,0.224656516896
17,2,Partly-Cloudy,False,0.461807988788
17,2,Partly-Cloudy,False,0.249203314213
17,2,Partly-Cloudy,False,0.380998080614
17,2,Partly-Cloudy,False,0.743412797992
17,2,Partly-Cloudy,False,0.145077720207
17,2,Clear,False,0.313468414779
17,2,Partly-Cloudy,False,0.525821596244
18,2,Partly-Cloudy,False,0.152755046372
18,2,Partly-Cloudy,False,0.837811900192
19,2,Clear,False,0.875
19,2,Clear,False,0.236084452975
19,2,Clear,False,1.27424242424
19,2,Clear,False,0.159411011524
19,2,Clear,False,1.23617021277
19,2,Clear,False,1.10318949343
19,2,Clear,False,0.741813602015
20,2,Clear,False,0.493138936535
20,2,Clear,False,0.302303262956
20,2,Clear,False,0.449618966977
20,2,Clear,False,0.69756097561
20,2,Clear,False,0.354757929883
21,2,Clear,False,0.119774011299
21,2,Clear,False,0.113243761996
22,2,Clear,False,0.117082533589
22,2,Clear,False,0.135935397039
23,2,Clear,False,0.10396039604
23,2,Clear,False,0.135316698656
0,3,Clear,False,0.165374677003
0,3,Clear,False,0.0997171145686
0,3,Clear,False,0.120921305182
1,3,Clear,False,0.126897389192
1,3,Clear,False,0.115163147793
2,3,Clear,False,0.15547024952
2,3,Clear,False,0.0874316939891
3,3,Clear,False,0.157389635317
3,3,Clear,False,0.0666666666667
3,3,Clear,False,0.124468731026
4,3,Clear,False,0.0948148148148
5,3,Clear,False,0.0607407407407
7,3,Clear,False,0.119104716227
7,3,Clear,False,0.248734634852
7,3,Partly-Cloudy,False,0.0931545518701
8,3,Partly-Cloudy,False,0.237739872068
8,3,Clear,False,0.589928057554
